I,l.scen,sceny
COLA29,0,0
COLA30,0,0
CruzC,0,0
EMB-VA12736,0,0
EMB-VA44371,0,0
HMV-63.54.15,0,0
MIMoMA297,0,0
MIMOMA518,0,0
MIMOMAC54,0,0
MLP-1451,0,0
MLP-4275,0,0
MLP-4276,0,0
MNAAH-Mo0087,0,0
MNAAH-Mo10398,0,0
MNAAH-Mo4029,0,0
MQB-MH2001.40.441,0,0
MTMNA-1631-575,0,0
MTMNA-1729-673,0,0
MTMNA-1730-674,0,0
MUNSA-005140,0,0
MUNSA-CS29,0,0
MUNSA-CS34,0,0
MUNSA-CS66,0,0
MUNSA-CS68,0,0
MUNSA-CS73,0,0
MUS12,0,0
MUS13,0,0
MUS14,0,0
MUS16,0,0
MUS17,0,0
MUS18,0,0
MUS19,0,0
MUS20,0,0
MUS21,0,0
NMAI-19.905,0,0
PRIVMRA,0,0
TOCMAL-MA0840,0,0
TOCML400032,2,3
TOCML400032,2,3
WIENMV-174.317,0,0
BRUMC1,1,1
BRUMC2,1,14
BRUMC3,1,13
BRUMC4,1,14
COLA03,1,9
COLA06,1,4
COLA07,1,4
COLA15,1,4
COLA28,1,11
COLA43,1,12
COLA44,1,14
COLA45,1,13
COLA46,1,12
COLA47,1,13
COLA50,1,3
COLA54,1,12
COLA56,1,6
COLA57,1,14
COLA59,1,13
COLA60,1,4
COLA61,1,14
COLA62,1,13
COLA63,1,14
COLA65,1,13
EMB-VA11809,1,13
EMB-VA11810,1,16
EMB-VA11811,1,13
EMB-VA12368,1,17
EMB-VA12369,1,17
EMB-VA12370,1,13
EMB-VA12430,1,13
EMB-VA12462,1,14
EMB-VA12463,1,14
EMB-VA12490,1,13
EMB-VA12593,1,13
EMB-VA12606,1,14
EMB-VA12607,1,13
EMB-VA12712,1,16
EMB-VA12713,1,13
EMB-VA12720,1,6
EMB-VA12721,1,14
EMB-VA12724,1,16
EMB-VA8916,1,8
EMB-VA8918,1,3
HMV-63.54.6,1,4
HMV-63.54.9,1,16
HMV-63.54.4,1,16
HMV-63.54.7,1,16
LAY1,1,9
MA7511,1,4
MA7524,1,18
MA7540,1,3
MA7547,1,6
MA7550,1,14
MA7566,1,11
MAL0341(2.3.595),1,13
MAL23.030.10,1,12
MIMAC139,1,4
MIMOMA244,1,10
MIMOMA257,1,1
MIMOMA258,1,1
MIMOMA259,1,1
MIMOMA263,1,6
MIMOMA284,1,10
MIMOMA303,1,5
MIMOMA522,1,3
MIMOMAC125,1,9
MIMOMAC128,1,3
MIMOMAC165,1,9
MKSL364,1,12
MLP1446,1,6
MLP1447,1,6
MLP1454,1,11
MMPCFB3537,1,3
MMPCFB3538,1,12
MMPCFB3539,1,12
MMPCFB3644,1,12
MMPCFB3645,1,13
MNAAH-Mo0067,1,5
MNAAH-Mo10400,1,3
MOMA532,1,13
MOMA540,1,13
MOMAC176,1,10
MPR965,1,14
MPR966,1,15
MQB71.1908,1,4
MTMNA-1001-CFD15784,1,13
MTMNA-1002-CFD-15775,1,13
MTMNA-1009-CFD-15777,1,14
MTMNA-16?0-624,1,14
MTMNA-1629-573,1,14
MTMNA-1630-574,1,13
MTMNA-1635-579,1,4
MTMNA-1637-581,1,17
MTMNA-1638-582,1,14
MTMNA-1640-584,1,3
MTMNA-1642-586,1,16
MTMNA-1643-587,1,4
MTMNA-1669-613,1,16
MTMNA-1682-626,1,12
MTMNA-1687-631,1,13
MTMNA-1689-633,1,13
MTMNA-1704-648,1,13
MTMNA-1706-650,1,14
MTMNA-1710-654,1,13
MTMNA-1712-656,1,13
MTMNA-1721-665,1,3
MTMNA-1729-668,1,4
MTMNA-1731-675,1,10
MTMNA-1740-683,1,13
MTMNA-988-CFD15779,1,14
MTMNA-990-CFD-15791,1,12
MTMNA-XX1-IMG3984,1,13
MTMNA1725-669,1,13
MTMNA984-CFD-15776,1,3
MTMNA994-CFD15778,1,3
MTTiaMNA1703647,1,12
MTTiaMNA1742685,1,12
MUNSA-0006691,1,19
MUNSA-0006692,1,1
MUNSA-0051135,1,14
MUNSA-005216,1,13
MUNSA-114,1,13
MUNSA-196,1,12
MUNSA-CS03,1,13
MUNSA-CS21,1,9
MUNSA-CS33,1,7
MUNSA-CS35,1,13
MUNSA-CS71,1,11
MUNSA-CS75,1,14
MUNSA-CS77,1,13
MUNSA-CS98,1,3
MUNSA-Ya1004-64,1,13
MUNSA-YaSN1,1,13
MUS10,1,13
MUS15,1,12
MUS23,1,14
MUS2,1,11
MUS3,1,6
MUS4,1,3
MUS6,1,10
MUS7,1,10
MUS8,1,13
MUS9,1,14
NM-35-14-1,1,13
NM-D6037,1,4
NM277,1,4
NM278,1,9
NMAI-15.8337,1,9
NMAI-19.904,1,14
NMAI-243967,1,15
NMAI-8169-IZ,1,4
NMAI-92576,1,14
NMAI-97658,1,9
PENN-43-24-1,1,4
COLA02,2,1
COLA02,2,5
EMB-VA28404,2,5
EMB-VA28404,2,20
MA7525,2,14
MA7525,2,10
MA754X,2,3
MA754X,2,3
MA7554,2,7
MA7554,2,8
MIMO-MAC164,2,4
MIMO-MAC164,2,3
MIMOMA256,2,1
MIMOMA256,2,10
MIMOMA265,2,6
MIMOMA265,2,6
MIMOMA277,2,4
MIMOMA277,2,10
MKSL400,2,2
MKSL400,2,3
ML-400676,2,11
ML-400676,2,11
ML400678,2,14
ML400678,2,3
MLP1448,2,11
MLP1448,2,11
MMPCFB3540,2,4
MMPCFB3540,2,6
MNAAH-Mo0075,2,4
MNAAH-Mo0075,2,11
MUNSA-154INCLHS,2,3
MUNSA-154INCLHS,2,13
MUS1,2,4
MUS1,2,3
MUS11,2,11
MUS11,2,11
MUS5,2,6
MUS5,2,10
NMAI-XXX,2,3
NMAI-XXX,2,11
VKGM45.16.1,2,1
VKGM45.16.1,2,5
MIMAC12,3,11
MIMAC12,3,11
MIMAC12,3,11
PENN-29-143-9,3,3
PENN-29-143-9,3,13
PENN-29-143-9,3,13
MTMNA-1734-678,1,11
MTMNA-1632-576,1,11
MUNSA-0007688,1,9
MUNSA-0007686,0,0
HMV-63.54.12,0,0
COLA27,0,0
